skills,interests,education,experience,career_category,salary_min,salary_max
"sql, documentation, market analysis, git, dashboards, data visualization, stakeholder management, svelte","strategy, stakeholder collaboration, problem solving, visualization, nlp research",bachelor's degree,12,Business Analyst,1138000,2687000
"agile, roadmap, customer discovery, personas, product analytics, market analysis, stakeholder management, pivot tables, qlik","problem solving, strategy, stakeholder collaboration, user research",master's degree,1,Product Manager,948000,2179000
"docker, teamwork, critical thinking, cloud, linux, interaction design, card sorting","systems, site reliability, computer vision",bachelor's degree,1,DevOps Engineer,673000,1499000
"javascript, python, git, critical thinking, presentation skills, software architecture, design patterns","algorithms, automation, coding",12th pass,8,Software Engineer,948000,2059000
"product analytics, stakeholder management, personas, agile, communication, user research, product strategy","stakeholder collaboration, visual storytelling",diploma,1,Product Manager,820000,1705000
"risk analysis, data visualization, requirements gathering, tableau","analytics, stakeholder collaboration, process improvement, problem solving, kpis",12th pass,2,Business Analyst,516000,1110000
"python, git, journey mapping, information architecture","programming, automation",bachelor's degree,2,Software Engineer,698000,1414000
"cross-browser testing, javascript, css, debugging, design systems, testing","web development, user experience",bachelor's degree,1,Front-End Developer,545000,1113000
"stakeholder management, sql, dashboards","stakeholder collaboration, strategy, visualization, kpis",master's degree,12,Business Analyst,1301000,3076000
"data structures, nlp, data cleaning, teamwork, git","statistics, innovation, product strategy",phd,3,Machine Learning Engineer,832000,1868000
"personas, prototyping, presentation skills, git, information architecture, deep learning","customer feedback, user research, design, infrastructure",diploma,8,UX Designer,896000,1837000
"databases, git, linux, scripting, api design, metrics","teamwork, infrastructure",12th pass,5,DevOps Engineer,979000,2158000
"presentation skills, scripting, object-oriented design, linux, design patterns, unit testing, git, python, a/b testing","automation, innovation, systems",bachelor's degree,11,Software Engineer,1011000,2282000
"machine learning, pandas, dashboards, presentation skills, okrs","data storytelling, problem solving, forecasting, analytics",diploma,11,Data Analyst,992000,2046000
"api design, testing, databases, git, docker","automation, innovation, cloud, kpis",diploma,8,DevOps Engineer,948000,1996000
"javascript, refactoring, git, object-oriented design, critical thinking, python, html, ci/cd","system design, coding, api design",bachelor's degree,3,Software Engineer,741000,1505000
"tableau, presentation skills, python","visualization, dashboards, technology, statistics",bachelor's degree,3,Data Analyst,539000,1177000
"git, problem solving, machine learning, numpy, statistics","pattern recognition, programming, artificial intelligence, predictive modeling, customer needs",master's degree,8,Machine Learning Engineer,1024000,2215000
"cloud, api design, databases, testing, docker, unit testing, c++","automation, innovation, cloud, systems, web performance",bachelor's degree,6,DevOps Engineer,933000,2007000
"html, documentation, git, helm, prometheus","coding, web development, user experience",master's degree,9,Front-End Developer,1081000,2230000
"debugging, api design, agile, load balancing, linux, keras, deep learning","infrastructure, distributed systems, system reliability, backend systems, technology, cloud, dashboards",master's degree,1,Back-End Developer,586000,1212000
"presentation skills, grpc, communication, linux, cloud, software architecture, design patterns","infrastructure, technology, engineering, api design",bachelor's degree,1,Back-End Developer,520000,1074000
"model evaluation, python, machine learning, data cleaning, agile, algorithms","programming, distributed systems",12th pass,0,Machine Learning Engineer,696000,1529000
"user research, documentation, customer discovery, personas, presentation skills, design systems, figma, keras, deep learning","user research, technology, design, user experience",bachelor's degree,0,UX Designer,487000,1016000
"agile, git, design critique, information architecture, design systems, css, user research","usability, user research, design",bachelor's degree,0,UX Designer,403000,818000
"market analysis, business case development, critical thinking, workflow automation, reporting, roadmap, pricing strategy","reporting, problem solving",master's degree,9,Business Analyst,926000,2034000
"agile, data structures, debugging, git, presentation skills, testing, algorithms","coding, web development, technology, market research",diploma,1,Software Engineer,674000,1413000
"presentation skills, javascript, figma, testing, debugging","coding, web development, design, market research",master's degree,3,Front-End Developer,634000,1432000
"debugging, html, user research, design systems, helm","teamwork, ui development, web development, web performance, distributed systems",diploma,3,Front-End Developer,660000,1474000
"data cleaning, critical thinking, machine learning, data visualization, tableau, caching","data analysis, pattern recognition, analytics",phd,4,Data Analyst,545000,1272000
"stakeholder management, metrics, requirements gathering, user research, git","strategy, customer feedback, problem solving, data storytelling",bachelor's degree,5,Product Manager,1107000,2406000
"ci/cd, agile, debugging, critical thinking, python, financial modeling, requirements gathering","web development, algorithms, problem solving, backend systems",master's degree,3,Software Engineer,639000,1396000
"agile, teamwork, reporting, pandas, python, tableau","kpis, visualization, pattern recognition",bachelor's degree,2,Data Analyst,533000,1153000
"teamwork, debugging, reinforcement learning, machine learning",statistics,bachelor's degree,15,Machine Learning Engineer,1354000,2767000
"communication, problem solving, roadmap, sharding, postgresql","visualization, analytics, strategy, web performance",master's degree,5,Business Analyst,693000,1543000
"documentation, javascript, design systems, debugging, code review, performance tuning","problem solving, web development, coding, user experience",master's degree,3,Front-End Developer,617000,1422000
"communication, prototyping, javascript, teamwork, risk analysis, requirements gathering","problem solving, web development, coding",master's degree,6,Front-End Developer,826000,1834000
"data warehousing, numpy, dashboards, reporting","data analysis, customer needs",diploma,0,Data Analyst,414000,843000
"communication, backlog grooming, personas, qlik, google sheets",customer feedback,diploma,2,Product Manager,949000,2088000
"debugging, code review, algorithms, design patterns, testing, git, requirements gathering, workflow automation","teamwork, clean code, systems, backend systems, product strategy",12th pass,5,Software Engineer,804000,1786000
"algorithms, communication, data cleaning, debugging, git, statistics, ui components, svelte","data analysis, statistics, algorithms",diploma,3,Machine Learning Engineer,714000,1711000
"sql, communication, reporting, excel, teamwork, requirements gathering, redis","strategy, analytics, stakeholder collaboration",bachelor's degree,1,Business Analyst,584000,1247000
"api design, databases, docker, scripting, monitoring","infrastructure, automation, market fit",12th pass,2,DevOps Engineer,767000,1647000
"sql, stakeholder communication, python, mongodb, postgresql","visualization, system reliability",12th pass,0,Data Analyst,459000,975000
"user research, critical thinking, prototyping, design systems, customer discovery, figma, git, model deployment, xgboost","design, innovation, process improvement",bachelor's degree,1,UX Designer,554000,1154000
"css, git, communication, design systems",design,master's degree,7,Front-End Developer,865000,1827000
"requirements gathering, market analysis, stakeholder management, user research, communication, charts, regression analysis","customer feedback, strategy, forecasting",master's degree,1,Product Manager,907000,2038000
"customer discovery, personas, communication, market analysis, teamwork","stakeholder collaboration, strategy",master's degree,7,Product Manager,1083000,2330000
"data structures, agile, teamwork, testing, process mapping, gap analysis","algorithms, automation, web development, teamwork",master's degree,10,Software Engineer,1153000,2737000
"testing, ci/cd, teamwork, design patterns, django, cloud","engineering, system reliability, infrastructure, backend systems, predictive modeling",bachelor's degree,5,Back-End Developer,773000,1781000
"power bi, data visualization, data cleaning, pandas, stakeholder communication, google sheets","statistics, innovation, visualization, pattern recognition, predictive modeling",12th pass,4,Data Analyst,577000,1377000
"data visualization, roadmap, sql, communication, documentation, dashboards","strategy, visualization, learning new tools, analytics, model optimization",bachelor's degree,6,Business Analyst,872000,1911000
"communication, roadmap, stakeholder management, requirements gathering, customer discovery, documentation, sketch","customer feedback, market fit, technology",diploma,1,Product Manager,771000,1647000
"data cleaning, sql, communication, dashboards, python","pattern recognition, data analysis, problem solving",diploma,6,Data Analyst,769000,1563000
"communication, databases, docker, testing, api design, presentation skills","cloud, cloud computing, infrastructure, problem solving, requirements analysis",bachelor's degree,4,DevOps Engineer,852000,1855000
"risk analysis, dashboards, problem solving, excel, market analysis, deep learning, scikit-learn","strategy, innovation, risk management",diploma,10,Business Analyst,959000,2183000
"testing, teamwork, git, user research, figma, heuristic evaluation, visual design","learning new tools, coding, site reliability",diploma,11,Front-End Developer,962000,1994000
"design systems, javascript, git, kafka, grpc","coding, interactive web experiences, user experience, web development",bachelor's degree,3,Front-End Developer,664000,1523000
"communication, market analysis, stakeholder management, product analytics, roadmap","strategy, technology, stakeholder collaboration, automation",master's degree,2,Product Manager,804000,1853000
"html, svelte, communication, git, agile, prioritization, competitive analysis","web development, technology, coding, design",diploma,1,Front-End Developer,471000,991000
"vue, git, critical thinking, css, typescript, prototyping, message queues","coding, design, interactive web experiences, user experience",bachelor's degree,8,Front-End Developer,929000,2081000
"debugging, problem solving, html, prototyping, agile, git, next.js, business case development","problem solving, coding",bachelor's degree,2,Front-End Developer,541000,1274000
"git, ci/cd, prometheus, scripting, problem solving, cloud, databases, journey mapping, heuristic evaluation","automation, cloud, systems",phd,2,DevOps Engineer,631000,1308000
"pandas, python, presentation skills, sql, dashboards","business intelligence, forecasting, pattern recognition, technology, analytics, visualization, growth",master's degree,10,Data Analyst,1059000,2353000
"css, user research, teamwork, git, prototyping, communication","design, user experience, web development",bachelor's degree,3,Front-End Developer,610000,1463000
"data cleaning, python, data visualization, dashboards","analytics, statistics, pattern recognition, technology, market fit",diploma,0,Data Analyst,369000,883000
"git, testing, html, documentation","technology, coding, programming, backend systems",bachelor's degree,6,Software Engineer,887000,2004000
"data visualization, excel, sql, dax, numpy, agile, redux, react","teamwork, statistics, forecasting, analytics, visualization, product strategy",diploma,3,Data Analyst,560000,1210000
"agile, prototyping, user research, information architecture, software architecture","accessibility, user research, design, user experience",bachelor's degree,4,UX Designer,601000,1288000
"problem solving, teamwork, html, data structures, information architecture, heuristic evaluation","systems, innovation, automation, kpis",bachelor's degree,3,Software Engineer,822000,1943000
"javascript, git, design systems, css, debugging","coding, predictive modeling",master's degree,1,Front-End Developer,499000,1074000
"testing, python, scripting, api design, html","coding, backend systems, nlp research",diploma,6,Software Engineer,825000,1736000
"communication, python, reporting","data analysis, visualization, problem solving",bachelor's degree,4,Data Analyst,571000,1313000
"databases, cloud, git, data structures, problem solving, qlik, data storytelling","engineering, scalability, innovation, software craftsmanship",bachelor's degree,3,Back-End Developer,711000,1562000
"linear algebra, data cleaning, presentation skills, machine learning, hyperparameter tuning, data structures, debugging",programming,master's degree,3,Machine Learning Engineer,788000,1707000
"machine learning, data cleaning, data visualization, reporting, design patterns, c++","forecasting, pattern recognition, system design",bachelor's degree,9,Data Analyst,873000,1864000
"git, roadmap, requirements gathering, stakeholder management, agile, risk analysis","user research, teamwork, customer feedback",bachelor's degree,4,Product Manager,1079000,2355000
"prototyping, testing, user research, css","web development, interactive web experiences, clean code",bachelor's degree,10,Front-End Developer,956000,2086000
"css animations, user research, critical thinking, prototyping","coding, ui development, user experience, web performance, design, requirements analysis",phd,11,Front-End Developer,971000,2278000
"api design, testing, data structures, databases, ci/cd, problem solving, design critique","engineering, distributed systems, infrastructure, backend systems, data storytelling",master's degree,0,Back-End Developer,521000,1124000
"teamwork, user research, problem solving, design systems, css, go-to-market strategy, product analytics","coding, customer needs",bachelor's degree,0,Front-End Developer,394000,851000
"design patterns, presentation skills, debugging, git","engineering, learning new tools, algorithms, system design, coding, growth",bachelor's degree,0,Software Engineer,524000,1198000
"user research, personas, customer discovery, spring boot, caching","technology, human-centered design, design, customer feedback, automation",bachelor's degree,5,UX Designer,757000,1673000
"debugging, machine learning, python, data cleaning, pandas, ansible","problem solving, algorithms, forecasting",diploma,3,Machine Learning Engineer,827000,1709000
"sql, stakeholder communication, excel, critical thinking, database indexing, authentication",strategy,diploma,4,Business Analyst,776000,1836000
"linux, git, ansible, site reliability, ci/cd, cloud, docker, journey mapping, usability","automation, systems, problem solving",bachelor's degree,6,DevOps Engineer,1024000,2127000
"algorithms, statistics, teamwork, numpy, python, prometheus, networking","programming, data analysis, pattern recognition",12th pass,0,Machine Learning Engineer,557000,1302000
"numpy, presentation skills, tableau, statistics, sql, requirements gathering, business case development","statistics, problem solving, pattern recognition",bachelor's degree,1,Data Analyst,516000,1043000
"redux, presentation skills, testing, css, performance tuning, refactoring","web development, interactive web experiences, ui development",master's degree,1,Front-End Developer,496000,1078000
"communication, roadmap, market analysis, customer discovery, journey mapping, information architecture","innovation, stakeholder collaboration",bachelor's degree,0,Product Manager,717000,1478000
"stakeholder interviews, documentation, dashboards, tableau, requirements gathering, reporting, teamwork","reporting, financial analysis, visualization, process improvement, analytics",master's degree,3,Business Analyst,619000,1301000
"testing, debugging, css, tailwind css, documentation, git","coding, accessibility",bachelor's degree,2,Front-End Developer,563000,1302000
"excel, numpy, stakeholder communication, problem solving, google sheets, tableau, data cleaning",data analysis,12th pass,1,Data Analyst,518000,1153000
"prototyping, teamwork, testing, tailwind css, presentation skills","user experience, coding, web development, problem solving, business intelligence",bachelor's degree,3,Front-End Developer,562000,1198000
"design patterns, api design, linux, docker, critical thinking, testing, networking","engineering, teamwork, product strategy",bachelor's degree,3,Back-End Developer,624000,1388000
"node.js, design patterns, git, cloud, databases, agile, redis, use case documentation, risk analysis","cloud, infrastructure, api design, backend systems",bachelor's degree,1,Back-End Developer,624000,1319000
"debugging, critical thinking, cloud, docker, agile, ci/cd, charts","engineering, cloud",bachelor's degree,15,Back-End Developer,1518000,3110000
"teamwork, sql, data storytelling, statistics, excel, python, product analytics, product strategy","statistics, innovation, reporting, software craftsmanship",bachelor's degree,3,Data Analyst,652000,1319000
"stakeholder communication, python, teamwork, progressive web apps, cross-browser testing","forecasting, analytics, visualization, pattern recognition",master's degree,5,Data Analyst,678000,1583000
"agile, python, algorithms, refactoring, javascript, scripting, git, redis, sharding","automation, systems",master's degree,1,Software Engineer,572000,1221000
"site reliability, testing, linux, kafka, authentication","cloud, teamwork, infrastructure, systems, process improvement",bachelor's degree,10,DevOps Engineer,1025000,2393000
"algorithms, data cleaning, statistics, problem solving, documentation, incident response","statistics, dashboards",diploma,3,Machine Learning Engineer,902000,1912000
"git, api design, testing, python, communication, cross-browser testing, typescript","web development, systems, backend systems, data storytelling",bachelor's degree,7,Software Engineer,1028000,2337000
"javascript, ci/cd, presentation skills, algorithms, design patterns, testing, information architecture","web development, coding, automation",bachelor's degree,5,Software Engineer,751000,1800000
"numpy, machine learning, debugging, visual design, card sorting","programming, statistics, model optimization, technology",master's degree,2,Machine Learning Engineer,653000,1320000
"user research, stakeholder management, requirements gathering, communication","growth, stakeholder collaboration",bachelor's degree,10,Product Manager,1267000,2846000
"api design, presentation skills, design patterns, agile, javascript","clean code, automation",bachelor's degree,3,Software Engineer,694000,1543000
"testing, documentation, prometheus, api design, databases, linux, kafka","teamwork, cloud",bachelor's degree,4,DevOps Engineer,923000,1981000
"communication, documentation, dashboards, git, software architecture, c++","analytics, distributed systems",master's degree,2,Business Analyst,670000,1555000
"testing, javascript, communication, problem solving, code review","design, coding, user experience, system reliability",master's degree,15,Front-End Developer,1444000,3414000
"stakeholder communication, communication, sql, market analysis, c#, performance tuning","analytics, stakeholder collaboration, strategy, requirements analysis",bachelor's degree,0,Business Analyst,487000,1026000
"git, numpy, statistics",pattern recognition,bachelor's degree,15,Machine Learning Engineer,1438000,3120000
"python, reporting, git, dashboards, stakeholder communication, gap analysis, business process improvement","business intelligence, problem solving, data analysis",master's degree,2,Data Analyst,481000,995000
"data visualization, vlookup, numpy, communication, git, business process improvement","dashboards, data analysis, visualization",bachelor's degree,2,Data Analyst,598000,1426000
"figma, customer discovery, design systems, personas, prototyping, tailwind css, react",customer feedback,bachelor's degree,10,UX Designer,1053000,2206000
"linux, teamwork, cloud, design critique","infrastructure, cloud, clean code",12th pass,3,DevOps Engineer,816000,1840000
"debugging, unit testing, api design","algorithms, programming, process improvement",diploma,1,Software Engineer,615000,1357000
"statistics, numpy, machine learning, problem solving, scikit-learn, git, python","algorithms, statistics, data analysis, product strategy",diploma,2,Machine Learning Engineer,718000,1436000
"teamwork, javascript, debugging, git, figma, interaction design","user experience, problem solving, web performance, ui development, design",bachelor's degree,1,Front-End Developer,484000,1060000
"stakeholder communication, git, numpy, pytorch, mlops","analytics, teamwork, data analysis, risk management",bachelor's degree,0,Data Analyst,467000,1064000
"presentation skills, teamwork, debugging, javascript, ansible","coding, learning new tools, web development",bachelor's degree,14,Software Engineer,1514000,3608000
"debugging, testing, prototyping","ui development, web development, product strategy",bachelor's degree,3,Front-End Developer,551000,1195000
"api design, unit testing, testing, linux","coding, algorithms, systems",diploma,11,Software Engineer,1264000,2899000
"problem solving, data structures, python, vue, svelte","systems, web development, backend systems",diploma,6,Software Engineer,798000,1764000
"linux, data structures, problem solving, sharding","infrastructure, backend systems, engineering",master's degree,1,Back-End Developer,553000,1202000
"problem solving, git, javascript","design, coding, user experience",bachelor's degree,6,Front-End Developer,889000,2110000
"agile, user research, customer discovery, information architecture, personas, figma, incident response","innovation, accessibility, user research",diploma,7,UX Designer,728000,1485000
"ci/cd, docker, authentication, git, cloud, angular, progressive web apps","engineering, responsive design",12th pass,2,Back-End Developer,677000,1497000
"databases, agile, git, docker, linux, critical thinking","backend systems, infrastructure, human-centered design",bachelor's degree,2,Back-End Developer,613000,1439000
"pandas, git, problem solving, keras, data structures, xgboost, statistics","statistics, pattern recognition, teamwork, computer vision",bachelor's degree,7,Machine Learning Engineer,1016000,2076000
"linux, docker, git, code review, design patterns","automation, learning new tools, software craftsmanship",master's degree,12,DevOps Engineer,1095000,2396000
"sql, statistics, critical thinking, data cleaning","problem solving, data analysis",bachelor's degree,1,Data Analyst,466000,1092000
"tableau, critical thinking, agile, excel, python, stakeholder communication","visualization, web performance",bachelor's degree,14,Data Analyst,1070000,2409000
"sql, python, charts, data warehousing, product analytics, okrs","teamwork, pattern recognition",diploma,3,Data Analyst,586000,1289000
"numpy, google sheets, agile, pandas, stakeholder communication, dashboards","data analysis, teamwork",master's degree,3,Data Analyst,583000,1231000
"algorithms, javascript, concurrency, helm","problem solving, automation",master's degree,6,Software Engineer,993000,2105000
"presentation skills, problem solving, scripting, helm, prometheus, testing, docker, ci/cd, keras, model evaluation","systems, automation, site reliability, infrastructure, product strategy",diploma,15,DevOps Engineer,1372000,3270000
"machine learning, statistics, documentation, kubernetes, ansible","data analysis, algorithms",phd,3,Machine Learning Engineer,773000,1680000
"git, communication, problem solving, figma, css, design systems, sass, storybook, testing, hyperparameter tuning","design, ui development, problem solving, web development, interactive web experiences",bachelor's degree,3,Front-End Developer,603000,1294000
"figma, customer discovery, prototyping, product strategy, product analytics","user experience, user research, design",phd,13,UX Designer,1000000,2280000
"documentation, stakeholder communication, etl, power bi, python, sql, interaction design","pattern recognition, analytics, data analysis, nlp research",master's degree,0,Data Analyst,400000,930000
"design patterns, docker, git, authentication, databases, documentation",infrastructure,master's degree,3,Back-End Developer,700000,1463000
"cloud, documentation, teamwork, design patterns, caching, redis",infrastructure,phd,3,Back-End Developer,584000,1181000
"presentation skills, use case documentation, excel, git, dashboards, prioritization, metrics","risk management, strategy",bachelor's degree,3,Business Analyst,661000,1527000
"stakeholder communication, data visualization, sql, stakeholder management, market analysis, workflow automation, redux, css animations","strategy, analytics, reporting",phd,2,Business Analyst,524000,1200000
"pandas, data structures","artificial intelligence, programming, algorithms, nlp research",diploma,1,Machine Learning Engineer,661000,1406000
"refactoring, algorithms, git, teamwork, javascript, data structures, concurrency","systems, innovation, site reliability",bachelor's degree,3,Software Engineer,751000,1742000
"problem solving, tableau, presentation skills, process mapping, stakeholder management, google sheets","learning new tools, stakeholder collaboration, analytics, visualization",bachelor's degree,1,Business Analyst,611000,1224000
"api design, ci/cd, linux, agile","engineering, technology, coding, visual storytelling",phd,2,Software Engineer,698000,1523000
"docker, cloud, logging systems, linux, gap analysis, business process improvement","site reliability, cloud, infrastructure, systems",master's degree,4,DevOps Engineer,785000,1838000
"data structures, linux, communication, message queues, presentation skills, pytorch, deep learning","distributed systems, infrastructure, engineering, backend systems, teamwork, data storytelling",diploma,10,Back-End Developer,925000,2200000
"git, documentation, testing, javascript, reinforcement learning","web performance, web development, responsive design, user experience, design, cloud computing",master's degree,7,Front-End Developer,825000,1926000
"presentation skills, prototyping, figma, teamwork, user research, design systems, vlookup","usability, user research, user experience, customer feedback, human-centered design, predictive modeling",bachelor's degree,1,UX Designer,495000,1157000
"communication, customer discovery, market analysis, user research, terraform, monitoring","product strategy, customer feedback",diploma,5,Product Manager,937000,1895000
"requirements gathering, risk analysis, communication, stakeholder management, data visualization","reporting, teamwork, analytics, stakeholder collaboration",bachelor's degree,15,Business Analyst,1162000,2649000
"customer discovery, card sorting, design systems, personas, prototyping, documentation","learning new tools, customer feedback, user research, usability, design",master's degree,1,UX Designer,463000,1018000
"roadmap, personas","customer feedback, stakeholder collaboration, learning new tools, strategy, human-centered design",bachelor's degree,2,Product Manager,903000,2097000
"linux, git, c++, teamwork, concurrency, api design, linear algebra","clean code, learning new tools, programming, systems",diploma,1,Software Engineer,599000,1295000
"requirements gathering, communication, roadmap, financial modeling, stakeholder communication","financial analysis, process improvement, technology, analytics, customer needs",bachelor's degree,3,Business Analyst,653000,1325000
"power bi, git, data cleaning, teamwork, data visualization, unit testing","business intelligence, visualization, system reliability",12th pass,0,Data Analyst,371000,841000
"reporting, data visualization, stakeholder management, dashboards, market analysis","analytics, visualization, strategy",diploma,2,Business Analyst,671000,1587000
"documentation, cloud, databases, critical thinking","infrastructure, automation, software craftsmanship",phd,1,DevOps Engineer,643000,1343000
"communication, data storytelling, python, dashboards","pattern recognition, analytics, dashboards, statistics, usability",bachelor's degree,0,Data Analyst,386000,874000
"business process improvement, data visualization, teamwork, communication, tableau, reporting, requirements gathering, design critique, journey mapping","reporting, stakeholder collaboration, analytics, technology, data storytelling",bachelor's degree,14,Business Analyst,1297000,3065000
"scripting, api design, pivot tables, a/b testing","clean code, programming",bachelor's degree,5,Software Engineer,837000,1883000
